"","x"
"117","RT @LindaSuhler: 5 Times Lester Holt Shilled for Hillary Clinton at First #DebateNight
#TrumpWon #VoteTrumpt
https://t.co/n08W4IABnO"
"118","""What a fucking fraud she is"" - my dad on Hillary Clinton"
"119","RT @AlanKestrel750: ""Did anybody see that debate last night?"" Hillary Clinton https://t.co/1JvsDO7C5H"
"120","Day after debate, Clinton gloats and Trump fumes: As soon as the first debate of the 2016 presidential electi... https://t.co/0nMj3mpcOg"
"121","RT @dmartosko: Okayyyyyy..... Hillary backer Mark Cuban says his 'Girls Gone Wild' series DIDN'T objectify women https://t.co/00h6pRkRuE vi"
"122","Ok, serious question:

What does Bill Clinton having affairs, or, indeed, his presidency, have to do with Hillary... https://t.co/X0H8FD4JaQ"
"123","RT @newtgingrich: If Hillary Clinton is going to cite 1990s she needs to drop  tax increasing,red tape increasing left wing policies.She is"
"124","RT @dmartosko: Okayyyyyy..... Hillary backer Mark Cuban says his 'Girls Gone Wild' series DIDN'T objectify women https://t.co/00h6pRkRuE vi"
"125","I slept in and forgot to try and meet Hillary Clinton. NOW who's going to ask her if she's a lizard person?"
"126","RT @STHGibbs: The Venezuelan former Miss Universe whom Hillary Clinton referred to in tonight's debate: https://t.co/h1s9C619fB"
"127","RT @Veteran4Trump: 50 Former Bush Appointees Endorse Donald Trump and distance themselves from Hillary Clinton Campaign https://t.co/XwwoBE"
"128","RT @Humans_vs_Trump: National polls that are actually valid show Clinton crushed Trump, 62-27. That's a FACT. 

#HillaryWon #TrumpWon https"
"129","RT @HillaryClinton: Hillary was the winner of the first presidential debateand newspapers across America agree. #SheWon https://t.co/jaxTd"
"130","RT @NewYorker: Hillary Clinton brings out the real Donald Trump: https://t.co/V9yo7KLU4Z #debates https://t.co/3qxUyeESY2"
"131","RT @JBaker31826004: Shattuck: True blue-collar billionaire Donald Trump shows Hillary Clinton is out of touch https://t.co/u8HATEcWET via @"
"132","RT @WayneDupreeShow: Clinton team says Trump wasn't prepared 

but Hillary left the campaign trail to memorize canned responses 

#debates"
"133","@IAmSteveHarvey 
Tell your audience how Bill Clinton signed the crime bill that locked up the black men U speak of. Hillary supported it."
"134","@Always_Trump @Veteran4Trump - Plastic wind-up doll Hillary Clinton could not answer the question. Why is she so concerned NOW?????!"
"135","RT @Humans_vs_Trump: National polls that are actually valid show Clinton crushed Trump, 62-27. That's a FACT. 

#HillaryWon #TrumpWon https"
"136","#cnn: Day after debate, Clinton gloats and Trump fumes https://t.co/ZN5YxOT7WT #news"
"137","RT @PolitiFact: Clinton: Trump's tax plan ""would blow up the debt"" & ""disadvantage middle-class families compared to the wealthy,"" https://"
"138","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"139","RT @NewsHour: Hillary Clinton: ""Maybe"" Donald Trump ""doesn't want the American people ... to know that he's paid nothing in federal taxes."""
"140","President Obama on Donald Trump & Hillary Clinton's First Debate, Biggest Concerns For Future & College Lingo https://t.co/SSVW9KuUeQ"
"141","RT @dmartosko: Okayyyyyy..... Hillary backer Mark Cuban says his 'Girls Gone Wild' series DIDN'T objectify women https://t.co/00h6pRkRuE vi"
"142","RT @FrankLuntz: Hillary Clinton has had the best debate training I've seen in years... She knows when to attack and when to explain.

#Deba"
"143","Day after debate, Clinton gloats and Trump fumes: As soon as the first debate of the 2016 presidential electi... https://t.co/ywRvJC8ehW"
"144","I really wish neither Trump or Clinton were running but overall Hillary is the best candidate to vote for in the Presidency Election."
"145","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"146","Ice Cube Accuses Hillary Clinton Of Waging War On Black People https://t.co/CBwyeQwGiv"
"147","RT @MarlowNYC: Rudy Giuliani used taxpayer money (the NYPD) to help him conduct an affair, yet attacks Hillary for staying w/ Bill: https:/"
"148","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"149","I liked a @YouTube video https://t.co/66MUmgGD0m ABC News Investigates Fundraising w Hidden camera - Video by Hillary Clinton On"
"150","RT @dmartosko: Okayyyyyy..... Hillary backer Mark Cuban says his 'Girls Gone Wild' series DIDN'T objectify women https://t.co/00h6pRkRuE vi"
"151","RT @realDonaldTrump: 'True blue-collar billionaire Donald Trump shows Hillary Clinton is out of touch' https://t.co/NHO1OicfVm"
"152","RT @dmartosko: Okayyyyyy..... Hillary backer Mark Cuban says his 'Girls Gone Wild' series DIDN'T objectify women https://t.co/00h6pRkRuE vi"
"153","RT @IndyUSA: Donald Trump's nerves got the better of him, says body language expert
https://t.co/86uovLA1CZ https://t.co/VxUXIn1GQ3"
"154","@realDonaldTrump You didn't win!! You did however win the Liar of the debate Award. Never thought anyone could out Lie Hillary Clinton."
"155","RT @TruthFeedNews: BREAKING : Associated Press Agree Hillary Clinton Lied on Her TPP Stance and Trump Was Right https://t.co/LWzWiNnwl6 #De"
"156","RT @CNN: At last night's debate, Hillary Clinton gave a shoulder shimmy after Donald Trump questioned her temperament https://t.co/uTepm1jr"
"157","Barack Obamas Hold Hillary Clinton In Arms Photo  Internet Turned It Into A Hilarious Meme: https://t.co/uHXqx3k1RX"
"158","Diana Johnstone | The Hillary Clinton Presidency Has Already Begun As Lame Ducks Promote https://t.co/XuHSUELSYR https://t.co/1cgvRg5Wjq"
"159","Hillary Clinton Zings Donald Trump for Saying Debate Microphone ""Didn't Work"" https://t.co/TLaR3Gfoat"
"160","RT @ScottPresler: Hillary Clinton takes $$$ from countries who murder gays, like me, and enslave women.  

#TrumpWon #NationalVoterRegistr"
"161","RT @tyleroakley: ALL POLITICS ASIDE!!
hillary clinton is adorable https://t.co/EDzhHerw2u"
"162","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"163","Bingo: Stop pretending you don't know why people hate Hillary Clinton @huffpostblog https://t.co/rp3xggBfRJ via @HuffPostPol"
"164","RT @CBSNews: FACT CHECK: Donald Trump claims NATO countries dont pay enough to U.S. for defense our country provides them. https://t.co/pg"
"165","Even Stormfront Thinks Hillary Clinton Won The Debate https://t.co/lx2gG5qqBn"
"166","RT @Pippi_Dust: Hillary Clinton T-Shirt for President via @Teespring: https://t.co/l0cZHbWcYO https://t.co/FxOmqRAflV"
"167","RT @tyleroakley: ALL POLITICS ASIDE!!
hillary clinton is adorable https://t.co/EDzhHerw2u"
"168","RT @JohnFromCranber: #Hillary Cldn't Remember Security Briefings Due to Concussion https://t.co/YP6EeZZQWw Mentally Unfit or Liar #tcot htt"
"169","Day after debate, Clinton gloats and Trump fumes: As soon as the first debate of the 2016 preside... https://t.co/MXdi7xn0rb #MostRecent"
"170","RT @Martina: The Morning After the Debate,Trump Goes on the Attack, - hey Pence- interrupting someone does not equate leadership https://t."
"171","RT @Always_Trump: Sources say Hillary had debate questions WEEK before debate. @NBC intern seen delivering package to office #TrumpWon http"
"172","RT @BAMAPERRY: .Exact Script of Lester Holts Plan to Rig Presidential Debate for Hillary Clinton Leaked 28 Days Ago to True Pundit https:/"
"173","RT @voxdotcom: Donald Trump interrupted Hillary Clinton 51 times on #DebateNight. For most women, this is a familiar pattern: https://t.co/"
"174","RT @NewYorker: .@BorowitzReport: Donald Trump Threatens To Skip Remaining Debates If Hillary Clinton Is There https://t.co/OqoENk9Lsb"
"175","@ChatRevolve See debate fact check- https://t.co/7aCmGK4no7"
"176","RT @realDonaldTrump: Why isn't Hillary Clinton 50 points ahead?
#DebateNight https://t.co/iux7icIkaT"
"177","news flash --> hillary clinton and donald trump are both working a line. all the questions were designed to create certain types of conflict"
"178","RT @Glicklich_Facts: WATCH: 'Will & Grace' Cast Reunites to Support Hillary Clinton  https://t.co/Qr56KZY8SH #StopRush #UniteBlue #p2 #Conn"
"179","RT @NRA: More Billionaires Are Donating to Hillary Clinton Than Donald Trump https://t.co/b78LIihYIe #2A #NeverHillary"
"180","RT @Veteran4Trump: 50 Former Bush Appointees Endorse Donald Trump and distance themselves from Hillary Clinton Campaign https://t.co/XwwoBE"
"181","RT @TheDailyShow: Donald Trump repeatedly boasts about his properties during his first debate with Hillary Clinton. https://t.co/ewerrcCY1I"
"182","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"183","RT @KatiePavlich: Hillary Clinton asks, ""How far will the Russians go [with hacking]"" Right to your server, Madam Secretary #Debates"
"184","RT @DumbestPosts: Hillary Clinton says ""Let's Make It Happen"" when told ""Hillary for Prison!"" 
https://t.co/NF1li5Eptu"
"185","RT @Veteran4Trump: 50 Former Bush Appointees Endorse Donald Trump and distance themselves from Hillary Clinton Campaign https://t.co/XwwoBE"
"186","Retweeted Hillary Clinton (@HillaryClinton):

""We may have a record-setting turnout in this election.

We could... https://t.co/b3cwpw9IuR"
"187","RT @NewYorker: Hillary Clinton brings out the real Donald Trump: https://t.co/V9yo7KLU4Z #debates https://t.co/3qxUyeESY2"
"188","Day after debate, Clinton gloats and Trump fumes: As soon as the first debate of the 2016 preside... https://t.co/D23r0afJVG Source: CNN"
"189","Stop pretending you don't know why people hate Hillary Clinton @huffpostblog https://t.co/ziKrqkdQpN via @HuffPostPol"
"190","Clinton mocks Trump's microphone malfunction: It was on and off and it was much lower than hers, Trump said... https://t.co/oEn4hemLUO"
"191","RT @TheBriefing2016: Donald Trump says he has better temperament than Hillary Clinton.

Fact check: He is Donald Trump. 

#debate"
"192","RT @THR: Just how many times did Trump sniff during last night's #debates? https://t.co/dQNr5E2zsM https://t.co/PI7iHshUtE"
"193","https://t.co/TkVFRzQM5l Hillary Clinton Zings Donald Trump for Saying Debate Microphone ""Didn't Work"" https://t.co/tp4NuuAlvE"
"194","Day after debate, Clinton gloats and Trump fumes: As soon as the first debate of the 2016 presidential electi... https://t.co/NWVhX4EgvE"
"195","RT @dmartosko: Okayyyyyy..... Hillary backer Mark Cuban says his 'Girls Gone Wild' series DIDN'T objectify women https://t.co/00h6pRkRuE vi"
"196","RT @ChristiChat: BUSTED!
16 times @LesterHoltNBC interrupted @realDonaldTrump
ZERO for Clinton

Like Hillary he thinks we're stupid. WE ARE"
"197","About last nightHillary Clinton proved that not only was she prepared for the debateshes also prepared to serve on Day One. #teamHillary"
"198","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"199","RT @PrisonPlanet: Fact check.

Did @LesterHoltNBC ask Hillary about.

- Benghazi
- Libya
- Emails
- Clinton Foundation
- Syrian rebels

Aaa"
"200","Clinton mocks Trump's microphone malfunction: It was on and off and it was much lower than hers, Trump said... https://t.co/x7mXynbZWu"
"201","Live | Hillary Clinton campaigns in North Carolina https://t.co/tyHULNEdjJ"
"202","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"203","RT @2ALAW: Ice Cube Accuses Hillary Clinton Of Waging War On Black People 

https://t.co/P5sJsNnJVz https://t.co/WpmiYlwWHy"
"204","RT @CNN: Clinton campaign manager on marital infidelity question: ""Hillary is ready for anything."" https://t.co/umDcDo0YZd https://t.co/8Fx"
"205","RT @FoxNews: .@newtgingrich: 'Enormous, historic victory' for @realDonaldTrump https://t.co/z58wcEknxn"
"206","Hillary Clinton Jokes Pneumonia Provoked GOP Interest In Womens Health | NBC News https://t.co/s8vG3HSPPG https://t.co/v3rjt1szkj"
"207","RT @mj_new_cd: Former Miss Universe Alicia Machado Becomes U.S. https://t.co/em5CeHG8CU #Politik #Donald_Trump #Hillary_Clinton https://t."
"208","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"209","RT @buckwinthrop: Clinton-Trump round one a draw -- and that's bad news for Hillary ----> #TrumpWON #DebateNight #MAGA #TrumpTrain

 https:"
"210","RT @newtgingrich: I worked with Bill Clinton. Bill Clinton and I got a lot done--welfare reform,balancing the budget.Hillary Clinton is no"
"211","THESE 3 FACTS Prove That Lester Holt Was Working for Hillary Clinton at Last Nights Debate! https://t.co/J7O8NOVLG4 via @anteksiler"
"212","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"213","RT @kardamylaxios: https://t.co/LkOk8m7Ie0 he is an evil beast that needs put back in his cage @HillaryClinton slammed him in its up to us"
"214","Day after debate, Clinton gloats and Trump fumes: As soon as the first debate of the 2016 presidential ... https://t.co/hoBkwLjZUh #news"
"215","RT @incorrectpoliti: It sounds like somebody else is doing the same thing right now her name is Hillary Clinton https://t.co/lgOskvoBUK"
"216","RT @Veteran4Trump: 50 Former Bush Appointees Endorse Donald Trump and distance themselves from Hillary Clinton Campaign https://t.co/XwwoBE"
"217","Donald Trump wants to save jobs, save lives and save America. Hillary Clinton wants to save face. #TrumpWon #MAGA #Debates2016"
"218","RT @Always_Trump: Sources say Hillary had debate questions WEEK before debate. @NBC intern seen delivering package to office #TrumpWon http"
"219","Donald Trump vs. Hillary Clinton | Presidential Debate Analysis https://t.co/3yByy9z75Z"
"220","RT @Liz_Cheney: Hillary Clinton hurts the cause of women everywhere when she asks for special help from debate moderators. https://t.co/aPm"
"221","@aaronjhill Obviously AOL didn't get that memo. :-) https://t.co/hsOqiOvno4 @bloodless_coup"
"222","RT @dmartosko: Okayyyyyy..... Hillary backer Mark Cuban says his 'Girls Gone Wild' series DIDN'T objectify women https://t.co/00h6pRkRuE vi"
"223","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"224","Day after debate, Clinton gloats and Trump fumes: As soon as the first debate of the 2016 presidential electi... https://t.co/JMnotBVgse"
"225","RT @HillaryClinton: Hillary was the winner of the first presidential debateand newspapers across America agree. #SheWon https://t.co/jaxTd"
"226","RT @wikileaks: #Debate Trump is right that #Libya was largely destroyed as a result of Clinton's actions https://t.co/E2oAtKJ4ei"
"227","RT @riotwomennn: Hillary Clinton proved Donald Trump lies every few minutes ... we can't keep up w them.   Here's another   #SheWon   https"
